Day,Date,Platform,Funnel Stage,Theme,Pillar,Format,Hook / Headline,Copy (Caption),Visual Brief,Hashtags,CTA,KPI
1,2026-09-18,LinkedIn,Awareness,Problem,Impact,Single Image + Stat,"Egypt wastes 18M tons of food/year","Egypt wastes ~18M tons of food/year. 80-88% ends in open dumps. And we pay twice: to throw waste away — and to buy gas for electricity (81-82% of power is gas-based). What if waste could generate energy? We’re building Smart Food Waste-to-Biogas at SUT: 18L → 60L → 500L+ with IoT + AI closed-loop control. WASTE HAS ENERGY. Follow for 30 days: problem → tech → live data → pilot results.","Infographic left: landfill mountain 18M tons vs right: 18L rig on white bg. Big text: WASTE HAS ENERGY. Source footnotes UNEP / business plan §7.","#WasteHasEnergy #Biogas #CircularEconomy #SUT #CleanTech #IoT #BiogasEgypt",Comment ASSESS for Waste Assessment template,Reach / Saves
2,2026-09-19,Instagram,Awareness,Problem,Impact,Carousel 5 slides,"What 18M tons looks like","Slide 1: What does 18M tons of food waste look like? Slide 2: = 72,000 trucks. Slide 3: 80-88% goes to dumps → methane. Slide 4: +81% electricity from gas imports. Slide 5: Our answer: Food Waste → Biogas → Energy → Data.","Carousel maps + icons + SUT photo style. Palette green/amber.","#WasteHasEnergy #FoodWaste #Egypt #Sustainability",Swipe → + Save,Carousel swipe rate
3,2026-09-20,TikTok / Reels,Awareness,Problem,Story,Video 20s,"The bin that pays you back","Hook: This bin costs a restaurant 15k EGP/yr to empty. What if it generated energy instead? Cut to hopper feeding. Text overlay: 80kg/day → 2400m3/yr illustrative. WASTE HAS ENERGY.","UGC style in kitchen + lab cutaways.","#biogas #foodwaste #restaurant #egypt",Follow,Views / Completion
4,2026-09-21,LinkedIn,Interest,Technology,Tech,Single Image,"Not just a digester","A conventional biodigester = biogas with limited monitoring. Ours = Biogas + IoT + AI + Automation + Safety + Measurable Data. Closed-loop monitor → analyze → control → optimize. It pauses feeding if pH/pressure out of range and auto-vents via solenoid with mechanical relief as backstop. Software never replaces a relief valve.","Diagram: Sensors → ESP32 → MQTT/TLS → Postgres/Timescale → React+Grafana+AI","#IoT #AI #ESP32 #TimescaleDB #Automation #Biogas",Comment TECH for stack PDF,Comments
5,2026-09-22,Instagram,Interest,Technology,Tech,Reel 30s,"Sensors that talk","POV walk around rig: point to DS18B20 → MQ-4 → MQ-136 → MPX5010 → JSN-SR04T. Each beep overlay. Final: dashboard chart rising.","Close-ups + callout labels (use hero image crop).","#IoT #Sensors #ESP32 #Engineering",Save reel,Saves
6,2026-09-23,LinkedIn,Interest,Methodology,Process,Carousel PDF,"Waste → Energy in 6 steps","1 Shred & Feed (hopper) 2 Digest 35°C sealed & mixed 3 Collect biogas (bladder) 4 Safety: relief + arrestor + CH4/H2S monitor 5 Generate electricity 6 Data: dashboard + AI alerts. Which step surprised you?","Step icons + rig photos","#WasteToEnergy #Process #Methodology",Swipe,PDF views
7,2026-09-24,Instagram,Demonstration,Prototype,Proof,Reel 35s,"Real build — not a render","This is not a CAD. This is our 18L mobile rig: 12-14L working, 100x50x70cm, lockable casters. Hopper on left, black digester center, gas bladder top-right, control cabinet with 2x ESP32. 10,900 EGP provisional build, lab-validated next 60L pilot.","Hero image video pan + spec overlays.","#Prototype #Engineering #SUT #MadeInEgypt",Comment SPEC for table,Reach
8,2026-09-25,TikTok / Reels,Demonstration,Prototype,Proof,Video 25s,"How gas is stored safely","Gas bladder inflates → pressure gauge → non-return → mechanical relief → flame arrestor. We test every joint. Handheld CH4 detector beep test.","Macro shots of valves + gauge","#SafetyFirst #Biogas #Engineering",Follow,Shares
9,2026-09-26,LinkedIn,Demonstration,Data,Data,Image + Screenshot,"Data as a product","Temp, pH, pressure, CH4/H2S, gas level, alerts, history — auditable. Stack: MQTT over TLS → Mosquitto → Node/Express → PostgreSQL+TimescaleDB → React + Grafana. MySQL viable for MVP only (corrected v2.1).","Mock dashboard screenshot (use Grafana template)","#Data #Dashboard #PostgreSQL #TimescaleDB",Request dashboard demo,Demo requests
10,2026-09-27,Instagram,Demonstration,Data,Data,Carousel,"Dashboard decoded","Slide 1: Live vs logged 2: Temp/pH stability 3: Pressure + bladder level 4: CH4% trend vs NDIR 5: Alerts & AI anomaly 6: Export CSV","UI mock cards, dark mode with teal charts","#Dashboard #IoT",Save, saves
11,2026-09-28,LinkedIn,Data,Calculator,Tool,Link Post,"The strongest sales tool: Calculator","Don’t ask Would you buy our machine? Ask How much waste do you generate daily? Our Biogas Savings Calculator turns kg/day into m3/yr, kWh/yr, EGP saved, payback — from measured pilot data, not promises. Try it live on our landing page. 100kg x 300 days x 0.10 m3/kg = 3000 m3/yr illustrative.","Calculator widget screenshot + input fields","#Calculator #ROI #B2B",Try calculator,Clicks
12,2026-09-29,Instagram,Data,Calculator,Tool,Reel 30s,"80kg/day = ?","Restaurant A: 80kg/day x 300 days = 24,000kg/yr → 2400m3 biogas → energy + disposal savings. Input your kg, see EGP. Link in bio.","Screen record of calculator.js interaction","#ROI #Calculator",Link in bio,Taps
13,2026-09-30,LinkedIn,Business,Model,Carousel,"6 revenue streams","We don’t depend on one-time sales: 1 System sales S/M/L 2 Installation 3 Maintenance SLA 4 IoT subscription 5 Upgrades 6 Engineering. LTV ~2.5x hardware with 3-yr care. Priority 1 Universities 2 Restaurants/Hotels 3 Food processing 4 Agri-ops.","BMC simplified grid with icons","#BusinessModel #Revenue #Startup",Download BMC one-pager,Leads
14,2026-10-01,Instagram,Business,Model,Single Image,"Who we sell to first","Priority stack pyramid: top Universities (demo + research) → Restaurants/Hotels (daily waste, visible pilot) → Food processing (consistent feedstock) → Agri (manure + residues). Not every customer first — validate speed → revenue.","Pyramid graphic with photos","#GoToMarket #Startup",Comment PRIORITY,Comments
15,2026-10-02,TikTok,Business,Story,Mini-doc 40s,"A day of waste","Follow waste from university canteen tray → bin → shred → digester → gas bag inflates → light bulb on. One loop, measurable.","Canteen → lab documentary style","#Campus #University #Biogas",Follow,Views
16,2026-10-03,LinkedIn,Pilot,Acquisition,Lead,Post + Form,"Waste Assessment — not a quote","Sales process: Contact → Waste Assessment → Technical Assessment → Pilot 30-90d → Measured Data → ROI Analysis → Commercial proposal. We collect kg/day, disposal cost, energy use, space, waste composition. Data-driven sale > prototype pitch. DM ASSESS.","Funnel diagram 7 steps","#B2B #Sales #Pilot",Fill form,Form fills
17,2026-10-04,Instagram,Pilot,Acquisition,Lead,Story + Poll,"How much waste do you make?","Story poll: Your kitchen waste per day? 0-20 20-50 50-100 100+ kg. Swipe up to assess. Next story: behind-the-scenes pH calibration.","Poll sticker + lab BTS","#Poll #Engagement",Vote + Swipe,Poll votes
18,2026-10-05,LinkedIn,Safety,Trust,Safety,Carousel,"Safety as a feature","Biogas is safe when engineered. Layers: 1 Containment: sealed HDPE + sealant 2 Overpressure: mechanical relief (independent) 3 Backflow: non-return + flame arrestor 4 Detection: MQ-4/MQ-136 + NDIR + MPX5010 5 Actuation: NC solenoid + watchdog 6 Procedural: PPE + detector + extinguisher 7 Software: TLS + RBAC. Software never replaces a valve.","Safety architecture diagram (Appendix C)","#Safety #IEC62443 #OTSecurity",Save safety sheet,Trust
19,2026-10-06,Instagram,Safety,Trust,Safety,Reel 20s,"PPE check","Gloves, goggles, mask, handheld detector beep, ventilation, signage, extinguisher. We do this before every run.","Fast-cut safety routine","#SafetyFirst #Lab",Share,Saves
20,2026-10-07,LinkedIn,Scale,Strategy,Roadmap,Image,"18L → 60L → 500L+ → Recurring","Phase 1 Prototype now: prove working build. Phase 2 Pilot 60L: real waste, validate yield/sensors/cost. Phase 3 Commercial S/M/L: certified. Phase 4 Recurring: IoT + care + data. We’re moving from demo to measured economics.","Roadmap timeline 4 phases","#ScaleUp #Roadmap #Commercial",Partner for pilot,Inquiries
21,2026-10-08,Instagram,Scale,Strategy,Roadmap,Carousel,"What changes at 60L?","Compare 18L lab vs 60L pilot: larger digester, stronger mixing, more storage, same IoT brain, pilot SLA (waste quantity, access, safety, data sharing).","Side-by-side specs","#ScaleUp",Comment SCALE,Comments
22,2026-10-09,TikTok / Reels,Impact,Stats,Impact,Video 15s,"One number per second","18M tons. 80%. 81%. 10,900 EGP. 35°C. 2x ESP32. WASTE HAS ENERGY. Flash rig shots to beat.","Kinetic typography + rig","#Impact #Stats #Egypt",Follow,Completion
23,2026-10-10,LinkedIn,Team,People,Team,Photo Post,"Meet the team","Zeyad (Lead) • Hamza • Ahmed (Cyber) • Nour • Caren + Dr. Mariam Ahmed Sameh. SUT Energy Engineering 2025/2026. We consolidate the WhatsApp Unknown corpus into one investment-ready plan v2.1 FIXED. Next: dated quotations + 30-day pilot data.","Team photo (replace placeholder)","#Team #SUT #EnergyEngineering",Introduce yourselves,Reactions
24,2026-10-11,Instagram,Team,Behind Scenes,BTS,Reel 30s,"Lab day","Soldering ESP32, calibrating DS18B20, sealing drum, Grafana deploy, failed test then fixed. Real R&D, not polished.","Authentic lab footage","#BehindTheScenes #Lab #Build",Comment LAB,Comments
25,2026-10-12,LinkedIn,Validation,Proof,Proof,Post,"10 steps before claiming profit","1 Measure waste kg/day 2 Record days/uptime 3 Measure biogas m3 4 CH4% via NDIR 5 kWh theoretical 6 kWh at generator 7 OPEX 8 Cost/kg 9 Energy value/kg 10 Payback/ROI. Only after ≥30 days continuous pilot do we publish ROI.","Checklist graphic §23","#Validation #ROI #Honest",Save checklist,Trust
26,2026-10-13,Instagram,Validation,Community,Proof,Single Image,"Honest projections","We label every EGP provisional until dated quotations + pilot BMP per VDI 4630. Judges value realism. Yield 0.10 m3/kg wet ≈0.45 m3/kg VS mid-range — triangulated Buswell + BMP + literature (Appendix B).","Yield reconciliation card","#Honest #Science",Share,Shares
27,2026-10-14,LinkedIn + Instagram,Conversion,CTA,Sales,Video + Link,"Your waste → Your number","Final call: Enter your kg/day on the calculator → get annual m3, kWh, EGP + payback. Then request Waste Assessment. We’ll reply with pilot SLA + MoU template. WASTE HAS ENERGY — measured, not guessed.","Calculator + form side-by-side","#CTA #WasteHasEnergy #Pilot",Book pilot,Conversions
28,2026-10-15,All,Reflection,Community,Wrap,Carousel + Video,"30 days of Waste Has Energy","Recap 30 days: Problem → Tech → Real build → Data → Business → Safety → Scale. What’s next: 60L pilot with partner, dated BOM, 30-day logs. Thank you for following. Which day hit you most? 1-28.","Best-of montage from days 1-27","#WasteHasEnergy #Recap #ThankYou",Comment 1-28,Engagement
29,2026-10-16,LinkedIn,Evergreen,Repurpose,FAQ,Document Post,"FAQ doc","FAQ: feedstock? prep? path to fertilizer? CH4 sensor accuracy (MQ-4 trend vs NDIR)? Certification? OPEX? Answer from business plan Appendices A-C.","PDF one-pager design","#FAQ #Evergreen",Download,Downloads
30,2026-10-17,Instagram + TikTok,Evergreen,Repurpose,FAQ,Reel,"3 myths about biogas","Myth 1 It smells — sealed, vented. Myth 2 It explodes — layers of safety. Myth 3 Low yield — depends on feedstock & temp control, we measure. Follow for myth 4.","Myth-busting quick cuts","#Myths #Biogas",Follow,Follows
